seed	selected_inner_cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
35	0.0	0.0	1000000000.0	True	0.0	0	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.556066929293168	True	0.0	8	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.556065929293168	True	0.027777777777777776	8	0.6422869516775782	0.9320184338045725	0.5	1.6642917496367815e-06	5.791883716188551e-06	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.254846035318077	True	0.05555555555555555	8	0.6422893559635373	0.9320224223023911	0.5	4.068577708737919e-06	9.780381534763016e-06	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.181776937004146	True	0.1111111111111111	8	0.6422927888891254	0.9320271672316292	0.5	7.501503296869494e-06	1.4525310772839362e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.9508966265740537	True	0.16666666666666666	8	0.6422971856140095	0.9320377219077199	0.5	1.1898228180928783e-05	2.5079986863629777e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.5390024118619956	True	0.2222222222222222	8	0.6423016866361856	0.9320525152443104	0.5	1.6399250357013173e-05	3.9873323454120424e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.3691704179532516	True	0.25	8	0.642303860845702	0.9320563371526861	0.5	1.8573459873438836e-05	4.369523182978785e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.2816014690667177	True	0.3055555555555556	8	0.6423868657069786	0.9321454062082175	0.5	0.00010157832114998655	0.00013276428736119783	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.2456818819817554	True	0.3611111111111111	8	0.6424455644086041	0.9322204033616835	0.5	0.00016027702277554567	0.00020776144082723658	0.0	0.0	0.0	0.0
35	0.0	0.005	-2.1102905274430133	True	0.4166666666666667	8	0.6424486531845237	0.9322258970120703	0.5	0.00016336579869513645	0.0002132550912139486	0.0	0.0	0.0	0.0
35	0.0	0.005	-2.001059511163192	True	0.4444444444444444	8	0.6424521739838956	0.9322331700357284	0.5	0.00016688659806707307	0.00022052811487205393	0.0	0.0	0.0	0.0
35	0.0	0.005	-1.7201356226008997	True	0.5	8	0.6424600055547585	0.932240319507974	0.5	0.00017471816892988823	0.000227677587117725	0.0	0.0	0.0	0.0
35	0.0	0.005	-1.6261333432356169	True	0.5555555555555556	8	0.6425179095473952	0.9322804019452064	0.5	0.0002326221615666091	0.0002677600243501388	0.0	0.0	0.0	0.0
35	0.0	0.005	-1.260862651620866	True	0.6111111111111112	8	0.6425385821172906	0.9322863614249689	0.5	0.0002532947314620726	0.0002737195041125906	0.0	0.0	0.0	0.0
35	0.0	0.005	-0.6039186504204351	True	0.6666666666666666	8	0.6425749532827093	0.9323041066977265	0.5	0.00028966589688073086	0.00029146477687014283	0.0	0.0	0.0	0.0
35	0.0	0.005	-0.5802491131433883	True	0.6944444444444444	8	0.6425912952934026	0.9323067451657496	0.5	0.0003060079075740685	0.00029410324489331785	0.0	0.0	0.0	0.0
35	0.0	0.005	-0.38229552289467933	True	0.75	8	0.6426188236529039	0.9323355413696449	0.5	0.00033353626707532946	0.000322899448788605	0.0	0.0	0.0	0.0
35	0.0	0.005	-0.0	False	1.0	8	0.6428042072046234	0.9325625279721206	0.5	0.0005189198187948163	0.00054988605126427	0.0	0.0	8.0	0.0
35	0.0	0.005	1e-06	False	1.0	8	0.6428042072046234	0.9325625279721206	0.5	0.0005189198187948163	0.00054988605126427	0.0	0.0	8.0	0.0
35	0.0	0.01	-4.556066929293168	True	0.0	12	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.01	-4.556065929293168	True	0.027777777777777776	12	0.6422886099085567	0.9320242121775126	0.5	3.322522728166355e-06	1.1570256656323608e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-4.23117888158711	True	0.05555555555555555	12	0.6422934097243471	0.9320321756492128	0.5	8.122338518545824e-06	1.9533728356502245e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-4.1317698785998305	True	0.1111111111111111	12	0.6423002612155497	0.9320416476273601	0.5	1.4973829721154353e-05	2.9005706503770767e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-3.794025275208681	True	0.16666666666666666	12	0.6423090383770308	0.9320627258728257	0.5	2.375099120222046e-05	5.0083951969370766e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-3.5390024118619956	True	0.2222222222222222	12	0.6423180253144869	0.9320922702352653	0.5	3.273792865832181e-05	7.962831440899709e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-3.3691704179532516	True	0.25	12	0.6423223651671967	0.9320998999113763	0.5	3.707778136807782e-05	8.72579905200066e-05	0.0	0.0	0.0	0.0
35	0.0	0.01	-3.2816014690667177	True	0.3055555555555556	12	0.6424875120151223	0.9322774217003538	0.5	0.00020222462929375684	0.00026477977949745934	0.0	0.0	0.0	0.0
35	0.0	0.01	-3.2456818819817554	True	0.3611111111111111	12	0.6426043194422277	0.9324270777318415	0.5	0.00031903205639916	0.0004144358109852142	0.0	0.0	0.0	0.0
35	0.0	0.01	-2.1102905274430133	True	0.4166666666666667	12	0.6426104739162508	0.9324380200627651	0.5	0.000325186530422239	0.0004253781419087943	0.0	0.0	0.0	0.0
35	0.0	0.01	-1.9559311519108036	True	0.4444444444444444	12	0.6426174870244915	0.9324525071462537	0.5	0.00033219963866293334	0.0004398652253974067	0.0	0.0	0.0	0.0
35	0.0	0.01	-1.7201356226008997	True	0.5	12	0.6426330942314605	0.932466754585926	0.5	0.0003478068456319594	0.0004541126650696725	0.0	0.0	0.0	0.0
35	0.0	0.01	-1.6261333432356169	True	0.5555555555555556	12	0.642748486210355	0.9325466272122251	0.5	0.0004631988245263896	0.0005339852913688325	0.0	0.0	0.0	0.0
35	0.0	0.01	-0.6988581974477734	True	0.6111111111111112	12	0.6427754000395305	0.9325657332951184	0.5	0.0004901126537019129	0.0005530913742620713	0.0	0.0	0.0	0.0
35	0.0	0.01	-0.16213203133257603	True	0.6666666666666666	12	0.6428522814103051	0.9326164368705183	0.5	0.0005669940244765748	0.0006037949496620065	0.0	0.0	0.0	0.0
35	0.0	0.01	0.0	False	1.0	12	0.6433183780519695	0.9331093892594259	0.5	0.001033090666140879	0.0010967473385695703	0.0	0.0	11.0	0.0
35	0.0	0.01	1e-06	False	1.0	12	0.6433183780519695	0.9331093892594259	0.5	0.001033090666140879	0.0010967473385695703	0.0	0.0	11.0	0.0
35	0.0	0.0125	-4.556066929293168	True	0.0	12	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.0125	-4.556065929293168	True	0.027777777777777776	12	0.6422894367411853	0.9320270962566194	0.5	4.149355356752871e-06	1.4454335763081083e-05	0.0	0.0	0.0	0.0
35	0.0	0.0125	-4.23117888158711	True	0.05555555555555555	12	0.6422954310269807	0.9320370421230432	0.5	1.0143641152149385e-05	2.4400202186858344e-05	0.0	0.0	0.0	0.0
35	0.0	0.0125	-4.1317698785998305	True	0.1111111111111111	12	0.6423039864021559	0.932048870900468	0.5	1.869901632733928e-05	3.6228979611641066e-05	0.0	0.0	0.0	0.0
