seed	cone_mix	train_safe_nonzero	train_rowwise_selected_scale	train_rowwise_selected_threshold	train_rowwise_selected_active_fraction	train_rowwise_selected_unsafe_count	train_rowwise_floor_transition	train_rowwise_floor_delta_cosine	train_rowwise_floor_recall_at_1	train_rowwise_selected_transition	train_rowwise_selected_delta_cosine	train_rowwise_selected_recall_at_1	train_rowwise_selected_gap_transition	train_rowwise_selected_gap_delta_cosine	train_rowwise_selected_gap_recall	train_rowwise_selected_near_tie_erosions	train_rowwise_selected_near_tie_flips	train_rowwise_selected_broken_count
34	0.0	True	0.05	-1.2596742694875422	0.1666666666666666	30.0	0.6134445343613452	0.9658461727019556	0.4861111111111111	0.6138236026804927	0.9660952423906644	0.4861111111111111	0.0003790683191475	0.0002490696887087	0.0	0.0	0.0	0.0
34	0.25	True	0.05	-0.2493717078464779	0.25	27.0	0.6134445343613452	0.9658461727019556	0.4861111111111111	0.6138385211274221	0.9661632200520076	0.4861111111111111	0.0003939867660769	0.000317047350052	0.0	0.0	0.0	0.0
34	0.5	True	0.05	-0.956892554685116	0.3611111111111111	23.0	0.6134445343613452	0.9658461727019556	0.4861111111111111	0.6137867275188716	0.9661602561557352	0.4861111111111111	0.0003421931575264	0.0003140834537794	0.0	0.0	0.0	0.0
34	0.75	True	0.05	-0.6514804455095748	0.6666666666666666	12.0	0.6134445343613452	0.9658461727019556	0.4861111111111111	0.6137752103337148	0.9662185569062696	0.4861111111111111	0.0003306759723696	0.0003723842043137	0.0	0.0	0.0	0.0
34	1.0	True	0.025	-0.6735536597359363	0.8055555555555556	7.0	0.6134445343613452	0.9658461727019556	0.4861111111111111	0.6134619118097167	0.9658461727019556	0.4861111111111111	1.7377448371491688e-05	0.0	0.0	0.0	0.0	0.0
35	0.0	True	0.05	-0.5891913175311679	0.3611111111111111	22.0	0.6276086396938249	0.9259853263364556	0.5	0.6292050052810215	0.9282670859576824	0.5	0.0015963655871966	0.0022817596212267	0.0	0.0	0.0	0.0
35	0.25	True	0.05	-0.0225455653676498	0.4444444444444444	20.0	0.6276086396938249	0.9259853263364556	0.5	0.6289189248584736	0.9278983630433552	0.5	0.0013102851646487	0.0019130367068996	0.0	0.0	0.0	0.0
35	0.5	True	0.05	-0.5653967675578254	0.4444444444444444	19.0	0.6276086396938249	0.9259853263364556	0.5	0.6284320682621567	0.927226662333703	0.5	0.0008234285683318	0.0012413359972475	0.0	0.0	0.0	0.0
35	0.75	True	0.05	-0.5220193757722232	0.4444444444444444	19.0	0.6276086396938249	0.9259853263364556	0.5	0.628039027569362	0.9266100914092136	0.5	0.0004303878755371	0.0006247650727581	0.0	0.0	0.0	0.0
35	1.0	True	0.05	-0.1384031452538449	0.6944444444444444	11.0	0.6276086396938249	0.9259853263364556	0.5	0.6277224081430361	0.9259853263364553	0.5	0.0001137684492112	-2.220446049250313e-16	0.0	0.0	0.0	0.0
36	0.0	True	0.05	-0.5081506853947825	0.5555555555555556	15.0	0.3361636410494584	0.9474792601703568	0.4722222222222222	0.3384092598241578	0.9499711499167056	0.5	0.0022456187746994	0.0024918897463488	0.0277777777777777	0.0	0.0	0.0
36	0.25	True	0.05	-0.7762364317958477	0.6111111111111112	13.0	0.3361636410494584	0.9474792601703568	0.4722222222222222	0.337959653241437	0.9494041210394876	0.5	0.0017960121919786	0.001924860869131	0.0277777777777777	0.0	0.0	0.0
36	0.5	True	0.05	-0.7667111225717761	0.75	8.0	0.3361636410494584	0.9474792601703568	0.4722222222222222	0.3376095556534934	0.9490332520642616	0.4861111111111111	0.0014459146040349	0.0015539918939048	0.0138888888888888	0.0	0.0	0.0
36	0.75	True	0.05	-0.3315909704843271	0.75	8.0	0.3361636410494584	0.9474792601703568	0.4722222222222222	0.3370634838914033	0.9482131819236024	0.4722222222222222	0.0008998428419448	0.0007339217532457	0.0	0.0	0.0	0.0
36	1.0	True	0.05	-0.2809083384957747	0.6944444444444444	10.0	0.3361636410494584	0.9474792601703568	0.4722222222222222	0.3365203626670071	0.9474792601703568	0.4722222222222222	0.0003567216175486	0.0	0.0	0.0	0.0	0.0
