seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
4	0.0	True	0.6985857906455684	0.9562826450260533	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
4	0.025	False	0.6995506242205328	0.9579222470921565	0.5	0.0009648335749644632	0.0016396020661031407	0.0	0.0	17.0	-7.52753007452478e-05	1.741894159748107e-05	36.0
4	0.05	False	0.7004805914257085	0.9595242225263214	0.5	0.001894800780140149	0.0032415775002681	0.0	0.0	21.0	-0.0002136265467443943	2.5613794582828493e-05	36.0
4	0.1	False	0.7022391503885128	0.9626129025786554	0.5	0.003653359742944451	0.006330257552602081	0.0	0.0	24.0	-0.0006608477897262488	2.5613794582828493e-05	36.0
4	0.15	False	0.7038677028213303	0.9655441570250601	0.5	0.005281912175761905	0.009261511999006822	0.0	0.0	28.0	-0.001233133271196396	2.5613794582828493e-05	36.0
4	0.2	False	0.705372147057519	0.9683139396411968	0.5	0.006786356411950689	0.012031294615143517	0.0	0.0	28.0	-0.0016736953159189882	2.5613794582828493e-05	36.0
4	0.25	False	0.7067580500233372	0.9709187851293495	0.5	0.008172259377768887	0.014636140103296169	0.0	1.0	29.0	-0.0018526647482625114	2.5613794582828493e-05	36.0
4	0.5	False	0.7120822208248357	0.9813967509053216	0.5	0.013496430179267382	0.025114105879268322	0.0	4.0	30.0	-0.0033248346258892836	2.5613794582828493e-05	36.0
4	0.75	False	0.7151046619634505	0.9876420542294613	0.5	0.0165188713178821	0.03135940920340796	0.0	5.0	30.0	-0.0036572609235109854	2.5613794582828493e-05	36.0
4	1.0	False	0.716211844763913	0.9899445283545099	0.5	0.017626054118344614	0.03366188332845654	0.0	7.0	30.0	-0.003862808949121832	2.5613794582828493e-05	36.0
