seed	selected_inner_cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
34	0.0	0.0	1000000000.0	True	0.0	0	0.6273727129142994	0.9557648041392852	0.5	0.0	0.0	0.0	0.0	0.0	0.0
34	0.0	0.005	-4.2755034041224205	True	0.0	7	0.6273727129142994	0.9557648041392852	0.5	0.0	0.0	0.0	0.0	0.0	0.0
34	0.0	0.005	-4.27550240412242	True	0.027777777777777776	7	0.6273736691548104	0.955770014571439	0.5	9.56240510996409e-07	5.210432153734956e-06	0.0	0.0	0.0	0.0
34	0.0	0.005	-4.154460799296891	True	0.05555555555555555	7	0.6273839154424541	0.9557905485653235	0.5	1.1202528154674596e-05	2.5744426038309953e-05	0.0	0.0	0.0	0.0
34	0.0	0.005	-3.8826699464795444	True	0.1111111111111111	7	0.6273887248772665	0.9558056457443905	0.5	1.601196296707741e-05	4.084160510531287e-05	0.0	0.0	0.0	0.0
34	0.0	0.005	-3.791652079851313	True	0.16666666666666666	7	0.6274192703695082	0.9558443217406923	0.5	4.65574552087622e-05	7.951760140711972e-05	0.0	0.0	0.0	0.0
34	0.0	0.005	-3.589004074526183	True	0.2222222222222222	7	0.6274285148730717	0.9558642780250969	0.5	5.580195877230576e-05	9.947388581166283e-05	0.0	0.0	0.0	0.0
34	0.0	0.005	-3.3846223042180843	True	0.25	7	0.627438637746367	0.9558750890190721	0.5	6.592483206757649e-05	0.00011028487978692603	0.0	0.0	0.0	0.0
34	0.0	0.005	-3.136932559838962	True	0.3055555555555556	7	0.6274468002113986	0.9558863682783714	0.5	7.408729709923456e-05	0.00012156413908614994	0.0	0.0	0.0	0.0
34	0.0	0.005	-2.832382273522397	True	0.3611111111111111	7	0.6274661021717969	0.9559055240489087	0.5	9.338925749746707e-05	0.000140719909623499	0.0	0.0	0.0	0.0
34	0.0	0.005	-2.7504057082659794	True	0.4166666666666667	7	0.6274827815310711	0.9559277341823154	0.5	0.00011006861677165247	0.00016293004303014058	0.0	0.0	0.0	0.0
34	0.0	0.005	-2.3514227908738037	True	0.4444444444444444	7	0.6274887355171169	0.955933147700809	0.5	0.00011602260281751153	0.00016834356152373164	0.0	0.0	0.0	0.0
34	0.0	0.005	-2.1082963564969694	True	0.5	7	0.6274991568157797	0.9559421686707874	0.5	0.00012644390148031093	0.00017736453150218878	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.868699659342824	True	0.5555555555555556	7	0.6275059803048764	0.9559518504743834	0.5	0.00013326739057695214	0.00018704633509813995	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.6406851961269877	True	0.6111111111111112	7	0.6275133652301984	0.9559584047971982	0.5	0.00014065231589899252	0.00019360065791296233	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.4273267104251954	True	0.6666666666666666	7	0.6275303522472659	0.9559764286065912	0.5	0.00015763933296653043	0.00021162446730593754	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.3172791663007903	True	0.6944444444444444	7	0.627537001692267	0.9559844732159664	0.5	0.00016428877796759167	0.00021966907668113933	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.2495717274315161	True	0.75	7	0.6275493900091854	0.9560004270130076	0.5	0.00017667709488600192	0.00023562287372236312	0.0	0.0	0.0	0.0
34	0.0	0.005	-1.104474754522311	True	0.8055555555555556	7	0.6275667750871582	0.9560112661305291	0.5	0.0001940621728587777	0.0002464619912438959	0.0	0.0	0.0	0.0
34	0.0	0.005	0.0	False	1.0	7	0.6276379631226698	0.9560723975521562	0.5	0.0002652502083704267	0.00030759341287101005	0.0	0.0	5.0	0.0
34	0.0	0.005	1e-06	False	1.0	7	0.6276379631226698	0.9560723975521562	0.5	0.0002652502083704267	0.00030759341287101005	0.0	0.0	5.0	0.0
34	0.0	0.01	-4.190737824554424	True	0.0	16	0.6273727129142994	0.9557648041392852	0.5	0.0	0.0	0.0	0.0	0.0	0.0
34	0.0	0.01	-4.190736824554424	True	0.027777777777777776	16	0.6273931583229923	0.9558057304467622	0.5	2.0445408692837397e-05	4.0926307476985e-05	0.0	0.0	0.0	0.0
34	0.0	0.01	-3.4270982606741462	True	0.05555555555555555	16	0.6273950646924872	0.9558161266070707	0.5	2.2351778187768012e-05	5.1322467785497317e-05	0.0	0.0	0.0	0.0
34	0.0	0.01	-3.261903676893055	True	0.1111111111111111	16	0.6274151115544397	0.9558688422055673	0.5	4.239864014032868e-05	0.00010403806628211942	0.0	0.0	0.0	0.0
34	0.0	0.01	-2.760269838807051	True	0.16666666666666666	16	0.6274438749445609	0.9559147933958049	0.5	7.11620302614735e-05	0.0001499892565196559	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.9497091635798185	True	0.2222222222222222	16	0.6274597450595623	0.95593500779423	0.5	8.70321452628442e-05	0.0001702036549448005	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.6423020860224993	True	0.25	16	0.6274635862971416	0.9559415560059574	0.5	9.08733828421937e-05	0.000176751866672209	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.5551751613495814	True	0.3055555555555556	16	0.6274863462994356	0.9559588830100595	0.5	0.00011363338513614707	0.00019407887077427244	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.4675455879907229	True	0.3611111111111111	16	0.6275142622590777	0.9559939765749758	0.5	0.00014154934477828007	0.0002291724356905389	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.4131638746887294	True	0.4166666666666667	16	0.6275406908839394	0.9560242326898144	0.5	0.00016797796963996525	0.0002594285505291838	0.0	0.0	0.0	0.0
34	0.0	0.01	-1.2826745700374984	True	0.4444444444444444	16	0.6275440276417739	0.9560298125226654	0.5	0.00017131472747444754	0.00026500838338017196	0.0	0.0	0.0	0.0
