seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
2	0.0	True	0.31538051651863425	0.9472656765128912	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
2	0.025	False	0.3158586116731976	0.9482613675281087	0.5	0.0004780951545633738	0.0009956910152175702	0.0	0.0	18.0	-9.880349632396257e-06	7.01143756971254e-05	36.0
2	0.05	False	0.3163262454859264	0.9492315271163917	0.5	0.0009457289672921698	0.0019658506035005185	0.0	0.0	21.0	-1.9774609288647493e-05	0.00014011780945160276	36.0
2	0.1	False	0.3172300771413908	0.9510955321569199	0.5	0.0018495606227565409	0.0038298556440287124	0.0	1.0	24.0	-3.960461003349458e-05	0.0002797725846833903	36.0
2	0.15	False	0.318091915301215	0.9528583142789324	0.5	0.002711398782580754	0.005592637766041242	0.0	1.0	26.0	-5.948950012957255e-05	0.00041892671968007635	36.0
2	0.2	False	0.31891167692242883	0.954520591809235	0.5	0.0035311604037945865	0.007254915296343811	0.0	1.0	28.0	-4.301813243107189e-05	0.0005575440933006074	36.0
2	0.25	False	0.31968929324788764	0.9560831727994584	0.5	0.004308776729253394	0.00881749628656725	0.0	1.0	28.0	-2.4149458251410127e-05	0.0006955900689619031	36.0
2	0.5	False	0.32294392592242116	0.962434427151676	0.5	0.007563409403786914	0.015168750638784867	0.0	2.0	29.0	-0.00021734501817394225	0.0013686426165958254	36.0
2	0.75	False	0.3251446373969325	0.9664555354383825	0.5	0.009764120878298255	0.0191898589254913	0.0	3.0	29.0	-0.0004970276494888348	0.0019869172748371933	36.0
2	1.0	False	0.3263045208353409	0.9683133992345342	0.5	0.010924004316706648	0.021047722721643014	0.0	7.0	31.0	-0.000929228559380435	0.0025418601937536927	36.0
